,category,scientific_name,common_names,conservation_status
3047,Mammal,Sylvilagus audubonii,Desert Cottontail,
3886,Vascular Plant,Galium boreale,Northern Bedstraw,
5742,Vascular Plant,Potentilla grayi,Gray's Cinquefoil,
3211,Bird,Setophaga striata,Blackpoll Warbler,
196,Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
5785,Vascular Plant,Ribes lasianthum,Alpine Gooseberry,
3652,Vascular Plant,Noccaea montana,Alpine Pennycress,
3348,Vascular Plant,Allium brandegeei,Brandegee's Onion,
3650,Vascular Plant,Lesquerella alpina var. alpina,Alpine Bladderpod,
3364,Vascular Plant,Corallorrhiza mertensiana,Pacific Coralroot,
3627,Vascular Plant,Draba incerta,Yellowstone Draba,
3583,Vascular Plant,Hackelia patens var. patens,Spotted Stickseed,
3390,Vascular Plant,Antennaria aromatica,Scented Pussytoes,
3415,Vascular Plant,Artemisia biennis var. biennis,Biennial Wormwood,
3434,Vascular Plant,Cirsium canovirens,Graygreen Thistle,
14,Mammal,Felis silvestris,"Wild Cat, Wildcat",
3453,Vascular Plant,Erigeron corymbosus,Longleaf Fleabane,
3471,Vascular Plant,Eucephalus engelmannii,Engelmann's Aster,
3673,Vascular Plant,Atriplex canescens var. canescens,Fourwing Saltbush,
197,Bird,Ammodramus henslowii,Henslow's Sparrow,
3335,Vascular Plant,Lomatium ambiguum,Wyeth Biscuitroot,
88,Mammal,Parascalops breweri,Hairy-Tailed Mole,
184,Bird,Cardinalis cardinalis,Northern Cardinal,
3222,Bird,Sialia currucoides,Mountain Bluebird,
166,Bird,Colinus virginianus,Northern Bobwhite,
160,Bird,Ceryle torquata,Ringed Kingfisher,
159,Bird,Ceryle alcyon,Belted Kingfisher,
153,Bird,Tringa flavipes,Lesser Yellowlegs,
152,Bird,Scolopax minor,American Woodcock,
143,Bird,Actitis macularia,Spotted Sandpiper,
109,Bird,Anas crecca,Green-Winged Teal,
108,Bird,Anas clypeata,Northern Shoveler,
3743,Vascular Plant,Eriogonum ovalifolium var. purpureum,Cushion Buckwheat,
97,Bird,Buteo platypterus,Broad-Winged Hawk,
3320,Vascular Plant,Stuckenia vaginata,Sheathed Pondweed,
3322,Vascular Plant,Ruppia cirrhosa,Spiral Ditchgrass,
5783,Vascular Plant,Ribes amarum,Bitter Gooseberry,
2909,Nonvascular Plant,Cyrto-hypnum minutulum,Cyrto-Hypnum Moss,
5740,Vascular Plant,Potentilla glandulosa ssp. reflexa,Sticky Cinquefoil,
2899,Nonvascular Plant,Isopterygium tenerum,Isopterygium Moss,
2529,Vascular Plant,Pyrus communis,"Common Pear, Pear",
690,Vascular Plant,Cleistes divaricata,Spreading Pogonia,
4245,Vascular Plant,Melica subulata,Alaska Oniongrass,
4244,Vascular Plant,Melica spectabilis,Purple Oniongrass,
2543,Vascular Plant,Rubus baileyanus,Bailey's Dewberry,
2544,Vascular Plant,Rubus canadensis,Smooth Blackberry,
2545,Vascular Plant,Rubus flagellaris,Northern Dewberry,
2546,Vascular Plant,Rubus frondosus,Yankee Blackberry,
681,Vascular Plant,Iris verna var. smalliana,Dwarf Violet Iris,
2553,Vascular Plant,Rubus trivialis,Southern Dewberry,
2563,Vascular Plant,Waldsteinia fragarioides ssp. doniana,Barren Strawberry,
4217,Vascular Plant,Deschampsia elongata,Slender Hairgrass,
5650,Vascular Plant,Polystichum munitum,Western Swordfern,
2586,Vascular Plant,Poncirus trifoliata,Trifoliate Orange,
648,Vascular Plant,Allium ampeloprasum,"Garlic, Wild Leek",
693,Vascular Plant,Corallorhiza odontorhiza,Autumn Coral-Root,
5661,Vascular Plant,Cryptogramma cascadensis,Cascade Rockbrake,
4253,Vascular Plant,Nassella viridula,Green Needlegrass,
703,Vascular Plant,Hexalectris spicata,Crested Coralroot,
4380,Vascular Plant,Potentilla hippiana var. hippiana,Woolly Cinquefoil,
2414,Vascular Plant,Clematis dioica,Cabellos De Angel,
749,Vascular Plant,Aster patens var. patens,Late Purple Aster,
5589,Vascular Plant,Elymus stebbinsii,Parish Wheatgrass,
735,Vascular Plant,Ambrosia bidentata,Lanceleaf Ragweed,
4327,Vascular Plant,Myosurus apetalus var. borealis,Bristly Mousetail,
5593,Vascular Plant,Eragrostis mexicana ssp. virescens,Mexican Lovegrass,
5006,Vascular Plant,Lewisia kelloggii,Kellogg's Lewisia,
5602,Vascular Plant,Hordeum brachyantherum ssp. californicum,California Barley,
4293,Vascular Plant,Sparganium emersum,European Bur-Reed,
4291,Vascular Plant,Sparganium,"Burreed, Bur-Reed",
2504,Vascular Plant,Photinia floribunda,Purple Chokeberry,
4271,Vascular Plant,Poa reflexa,Nodding Bluegrass,
2515,Vascular Plant,Prunus,"Chokecherry, Plum",
696,Vascular Plant,Corallorrhiza odontorhiza,Autumn Coral-Root,
5662,Vascular Plant,Pellaea andromedifolia,Coffee Cliffbrake,
635,Vascular Plant,Aralia nudicaulis,Wild Sarsaparilla,
448,Amphibian,Gyrinophilus porphyriticus,Spring Salamander,
440,Amphibian,Eurycea,Brook Salamanders,
2788,Nonvascular Plant,Amblystegium serpens,Amblystegium Moss,
2789,Nonvascular Plant,Amblystegium varium,Amblystegium Moss,
5725,Vascular Plant,Ivesia muirii,Granite Mousetail,
427,Amphibian,Scaphiopus holbrookii holbrookii,Eastern Spadefoot,
2839,Nonvascular Plant,Anacamptodon splachnoides,Anacamptodon Moss,
2851,Nonvascular Plant,Loeskeobryum brevirostre,Loeskeobryum Moss,
2856,Nonvascular Plant,Callicladium haldanianum,Callicladium Moss,
5737,Vascular Plant,Potentilla glandulosa ssp. glandulosa,Sticky Cinquefoil,
407,Reptile,Trachemys scripta troostii,Cumberland Slider,
2879,Nonvascular Plant,Forsstroemia trichomitria,Forsstroemia Moss,
4017,Vascular Plant,Salix rotundifolia var. dodgeana,Timberline Willow,
5739,Vascular Plant,Potentilla glandulosa ssp. nevadensis,Nevada Cinquefoil,
2749,Nonvascular Plant,Rhabdoweisia crispata,Rhabdoweisia Moss,
959,Vascular Plant,Symphyotrichum laeve var. laeve,Smooth Blue Aster,
509,Fish,Phenacobius uranops,Stargazing Minnow,
515,Fish,Fundulus catenatus,Northern Studfish,
4188,Vascular Plant,Alopecurus borealis,Boreal Alopecurus,
613,Vascular Plant,Heracleum maximum,Common Cowparsnip,
5682,Vascular Plant,Clematis lasiantha,Pipestem Clematis,
608,Vascular Plant,Eryngium integrifolium,Blueflower Eryngo,
5685,Vascular Plant,Delphinium hansenii ssp. hansenii,Eldorado Larkspur,
