,category,scientific_name,common_names,conservation_status
861,Vascular Plant,Iva annua,Iva,
1434,Vascular Plant,Quercus,Oak,
151,Bird,Philomachus pugnax,Ruff,
2113,Vascular Plant,Juncus dichotomus,Rush,
2527,Vascular Plant,Pyrus,Pear,
1931,Vascular Plant,Pinus,Pine,
177,Bird,Porzana carolina,Sora,
5241,Vascular Plant,Salvia columbariae,Chia,
1573,Vascular Plant,Mentha X gracilis,Mint,
1029,Vascular Plant,Brassica napus,Rape,
4142,Vascular Plant,Schoenoplectus acutus var. occidentalis,Tule,
2106,Vascular Plant,Juncus,Rush,
1953,Vascular Plant,Carex albicans var. australis,Sedge,
1952,Vascular Plant,Carex albicans var. albicans,Sedge,
663,Vascular Plant,Hosta lancifolia,Hosta,
2523,Vascular Plant,Prunus persica,Peach,
1963,Vascular Plant,Carex atlantica ssp. atlantica,Sedge,
3256,Reptile,Coluber constrictor,Racer,
1552,Vascular Plant,Clinopodium vulgare,Basil,
1149,Vascular Plant,Euonymus atropurpureus,Wahoo,
1377,Vascular Plant,Pueraria montana var. lobata,Kudzu,
1647,Vascular Plant,Mazus pumilus,Mazus,
1646,Vascular Plant,Mazus miquelii,Mazus,
2495,Vascular Plant,Geum aleppicum var. strictum,Avens,
1235,Vascular Plant,Galax urceolata,Galax,
302,Bird,Catharus fuscescens,Veery,
1455,Vascular Plant,Carya illinoinensis,Pecan,
2023,Vascular Plant,Carex oligocarpa,Sedge,
5197,Vascular Plant,Lithocarpus densiflorus var. echinoides,Tanoak,
4813,Vascular Plant,Micropus californicus var. californicus,Q-Tips,
21,Mammal,Martes pennanti,Fisher,
163,Bird,Falco columbarius,Merlin,Species of Concern
847,Vascular Plant,Heliopsis helianthoides,Ox-Eye,
2822,Nonvascular Plant,Cirriphyllum piliferum,A Moss,
729,Vascular Plant,Achillea millefolium var. occidentalis,Yarrow,
7,Mammal,Canis latrans,Coyote,Species of Concern
3121,Bird,Calidris alpina,Dunlin,
1855,Vascular Plant,Viola septemloba,Violet,
3135,Bird,Tringa semipalmata,Willet,
15,Mammal,Lynx rufus,Bobcat,
1860,Vascular Plant,Viola walteri,Violet,
2940,Nonvascular Plant,Aneura pinguis,Aneura,
2730,Nonvascular Plant,Dichodontium pellucidum,A Moss,
4456,Mammal,Pekania pennanti,Fisher,
146,Bird,Catoptrophorus semipalmatus,Willet,
406,Reptile,Trachemys scripta,Slider,
554,Fish,Stizostedion canadense,Sauger,
2687,Nonvascular Plant,Blasia pusilla,Blasia,
1302,Vascular Plant,Samolus valerandi ssp. parviflorus,Samolus,
995,Vascular Plant,Lobelia spicata var. leptostachys,Lobelia,
641,Vascular Plant,Panax quinquefolius,Ginseng,
114,Bird,Aythya americana,Redhead,
1772,Vascular Plant,Chamaesyce nutans,Eyebane,
1367,Vascular Plant,Medicago sativa,Alfalfa,
2303,Vascular Plant,Setaria faberi,Foxtail,
4555,Bird,Chamaea fasciata,Wrentit,
4524,Bird,Psaltriparus minimus,Bushtit,
1224,Vascular Plant,Weigela florida,Weigela,
1896,Vascular Plant,Ludwigia uruguayensis,Seedbox,
12,Mammal,Vulpes vulpes,Red Fox,
111,Bird,Anas platyrhynchos,Mallard,
1443,Vascular Plant,Quercus palustris,Pin Oak,
790,Vascular Plant,Eclipta prostrata,Eclipta,
5713,Vascular Plant,Adenostoma fasciculatum,Chamise,
555,Fish,Stizostedion vitreum,Walleye,
170,Bird,Pavo cristatus,Peacock,
769,Vascular Plant,Cirsium,Thistle,
1650,Vascular Plant,Phryma leptostachya,Lopseed,
3084,Bird,Anas strepera,Gadwall,
5706,Vascular Plant,Ceanothus diversifolius,Pinemat,
664,Vascular Plant,Liriope spicatum,Liriope,
4845,Vascular Plant,Tanacetum parthenium,Feverfew,
1159,Vascular Plant,Murdannia keisak,Aneilema,
2930,Nonvascular Plant,Bazzania tricrenata,Bazzania,
2928,Nonvascular Plant,Bazzania denudata,Bazzania,
1393,Vascular Plant,Thermopsis fraxinifolia,Bush-Pea,
2417,Vascular Plant,Clematis terniflora,Clematis,
5233,Vascular Plant,Lepechinia calycina,Woodbalm,
2423,Vascular Plant,Hepatica nobilis,Hepatica,
3201,Bird,Seiurus aurocapillus,Ovenbird,
230,Bird,Dolichonyx oryzivorus,Bobolink,
468,Amphibian,Necturus maculosus maculosus,Mudpuppy,
1189,Vascular Plant,Dioscorea villosa,Wild Yam,
5199,Vascular Plant,Quercus douglasii,Blue Oak,
2353,Vascular Plant,Dryopteris celsa,Log Fern,
135,Bird,Charadrius vociferus,Killdeer,
3778,Vascular Plant,Adoxa moschatellina,Muskroot,
4823,Vascular Plant,Rigiopappus leptocladus,Wireweed,
4599,Amphibian,Lithobates catesbeianus,Bullfrog,
480,Fish,Carassius auratus,Goldfish,
980,Vascular Plant,Verbesina alternifolia,Wingstem,
2384,Vascular Plant,Platanus occidentalis,Sycamore,
793,Vascular Plant,Erechtites hieracifolia,Burnweed,
4610,Fish,Mylopharodon conocephalus,Hardhead,
272,Bird,Seiurus aurocapilla,Ovenbird,
1350,Vascular Plant,Laburnum anagyroides,Laburnum,
1188,Vascular Plant,Dioscorea quaternata,Wild Yam,
9,Mammal,Canis rufus,Red Wolf,Endangered
1252,Vascular Plant,Oxydendrum arboreum,Sourwood,
2390,Vascular Plant,Jeffersonia diphylla,Twinleaf,
2072,Vascular Plant,Cyperus rotundus,Nutgrass,
551,Fish,Percina caprodes,Logperch,
4885,Vascular Plant,Nemophila maculata,Fivespot,
1448,Vascular Plant,Quercus stellata,Post Oak,
857,Vascular Plant,Hieracium X marianum,Hawkweed,
4458,Mammal,Bassariscus astutus,Ringtail,Species of Concern
572,Fish,Noturus flavus,Stonecat,
1625,Vascular Plant,Fraxinus quadrangulata,Blue Ash,
4404,Vascular Plant,Acer negundo var. violaceum,Boxelder,
5413,Vascular Plant,Epilobium angustifolium ssp. circumvagum,Fireweed,
3108,Bird,Larus canus,Mew Gull,
3008,Nonvascular Plant,Sphagnum subsecundum,Sphagnum,
525,Fish,Lepomis macrochirus,Bluegill,
2319,Vascular Plant,Sporobolus compositus var. compositus,Dropseed,
5126,Vascular Plant,Polemonium eximium,Skypilot,
1814,Vascular Plant,Salix alba,A Willow,
2997,Nonvascular Plant,Sphagnum affine,Sphagnum,
3123,Bird,Calidris canutus,Red Knot,
2929,Nonvascular Plant,Bazzania nudicaulis,Bazzania,Species of Concern
2998,Nonvascular Plant,Sphagnum capillifolium,Sphagnum,
2531,Vascular Plant,Rosa canina,Dog Rose,
195,Bird,Cyanocitta cristata,Blue Jay,
689,Vascular Plant,Cleistes bifaria,Cleistes,
2376,Vascular Plant,Thelypteris simulata,Bog Fern,
5284,Vascular Plant,Mimulus douglasii,Brownies,
1899,Vascular Plant,Oenothera fruticosa ssp. glauca,Sundrops,
3003,Nonvascular Plant,Sphagnum molle,Sphagnum,
3006,Nonvascular Plant,Sphagnum quinquefarium,Sphagnum,
523,Fish,Lepomis gulosus,Warmouth,
1898,Vascular Plant,Oenothera fruticosa ssp. fruticosa,Sundrops,
3007,Nonvascular Plant,Sphagnum squarrosum,Sphagnum,
2884,Nonvascular Plant,Leskeella nervosa,Leskeella,
2405,Vascular Plant,Sanguinaria canadensis,Bloodroot,
2933,Nonvascular Plant,Lophocolea muricata,Liverwort,
1247,Vascular Plant,Lyonia ligustrina,Maleberry,
1622,Vascular Plant,Fraxinus americana,White Ash,
1156,Vascular Plant,Commelina diffusa,Dayflower,
3024,Mammal,Gulo gulo,Wolverine,
1641,Vascular Plant,Melampyrum lineare,Cow Wheat,
3872,Vascular Plant,Vicia americana var. minor,Mat Vetch,
1614,Vascular Plant,Teucrium canadense var. virginicum,Wood-Sage,
1352,Vascular Plant,Lathyrus venosus var. intonsus,Veiny Pea,
1376,Vascular Plant,Phaseolus polystachios,Wild Bean,
5752,Vascular Plant,Rosa pinetorum,Pine Rose,
2320,Vascular Plant,Sporobolus indicus,Smutgrass,
1925,Vascular Plant,Juniperus virginiana,Red Cedar,
5518,Vascular Plant,Juncus bryoides,Moss Rush,
5520,Vascular Plant,Juncus bufonius var. occidentalis,Toad Rush,
4497,Mammal,Tamiasciurus douglasii,Chickaree,
833,Vascular Plant,Helianthus,Sunflower,
359,Bird,Tytonidae,Barn-Owls,
1571,Vascular Plant,Mentha spicata,Spearmint,
2229,Vascular Plant,Eragrostis hirsuta,Lovegrass,
1867,Vascular Plant,Alcea rosea,Hollyhock,
5087,Vascular Plant,Sarcodes sanguinea,Snowplant,
925,Vascular Plant,Solidago,Goldenrod,
5205,Vascular Plant,Garrya fremontii,Bearbrush,
3219,Bird,Salpinctes obsoletus,Rock Wren,
5519,Vascular Plant,Juncus bufonius var. bufonius,Toad Rush,
1623,Vascular Plant,Fraxinus pennsylvanica,Green Ash,
1532,Vascular Plant,Trichomanes intricatum,Weft Fern,
1476,Vascular Plant,Cynanchum laeve,Cynanchum,
1274,Vascular Plant,Vaccinium macrocarpon,Cranberry,
2127,Vascular Plant,Luzula acuminata var. carolinae,Wood-Rush,
5705,Vascular Plant,Ceanothus cuneatus var. cuneatus,Buckbrush,
3276,Fish,Couesius plumbeus,Lake Chub,
3277,Fish,Gila atraria,Utah Chub,
2126,Vascular Plant,Luzula acuminata var. acuminata,Wood-Rush,
1020,Vascular Plant,Arabis canadensis,Sicklepod,
2116,Vascular Plant,Juncus effusus var. solutus,Lamp Rush,
1277,Vascular Plant,Vaccinium stamineum,Deerberry,
71,Mammal,Rattus rattus,Black Rat,
677,Vascular Plant,Gladiolus X gandavensis,Gladiolus,
1292,Vascular Plant,Anagallis minima,Chaffweed,
74,Mammal,Marmota monax,Woodchuck,
1435,Vascular Plant,Quercus alba,White Oak,
4148,Vascular Plant,Juncus bufonius,Toad Rush,
105,Bird,Aix sponsa,Wood Duck,
4957,Vascular Plant,Tropidocarpum gracile,Dobie Pod,
1013,Vascular Plant,Nemophila aphylla,Nemophila,
519,Fish,Ambloplites rupestris,Rock Bass,
4096,Vascular Plant,Carex limosa,Mud Sedge,
1221,Vascular Plant,Triosteum perfoliatum,Feverwort,
3686,Vascular Plant,Krascheninnikovia lanata,Winterfat,
1117,Vascular Plant,Fagopyrum vulgare,Buckwheat,
4206,Vascular Plant,Calamagrostis rubescens,Pinegrass,
1699,Vascular Plant,Sassafras albidum,Sassafras,
2594,Vascular Plant,Acer rubrum var. rubrum,Red Maple,
3257,Reptile,Pituophis catenifer sayi,Bullsnake,
2403,Vascular Plant,Papaver dubium,Blindeyes,
426,Amphibian,Rana sylvatica,Wood Frog,
2053,Vascular Plant,Carex vulpinoidea,Fox Sedge,
1449,Vascular Plant,Quercus velutina,Black Oak,
2153,Vascular Plant,Arundo donax,Giantreed,
1101,Vascular Plant,Silene virginica,Fire Pink,
2784,Nonvascular Plant,Brachydontium trichodes,Peak Moss,
4931,Vascular Plant,Cardamine californica var. californica,Milkmaids,
574,Vascular Plant,Acorus calamus,Sweetflag,
1779,Vascular Plant,Euphorbia lathyris,Moleplant,
178,Bird,Rallus elegans,King Rail,Species of Concern
1237,Vascular Plant,Diospyros virginiana,Persimmon,
1698,Vascular Plant,Lindera benzoin,Spicebush,
2184,Vascular Plant,Danthonia epilis,Oat Grass,
3250,Bird,Bubo scandiacus,Snowy Owl,
658,Vascular Plant,Nothoscordum bivalve,Crowpoison,
2537,Vascular Plant,Rosa palustris,Swamp Rose,
5144,Vascular Plant,Lathyrus lanszwertii var. aridus,Nevada Pea,
655,Vascular Plant,Lycoris radiata,Magic Lily,
532,Fish,Morone chrysops,White Bass,
2695,Nonvascular Plant,Bryum pallens,Bryum Moss,
1784,Vascular Plant,Ricinus communis,Castorbean,
667,Vascular Plant,Manfreda virginica,False Aloe,
2690,Nonvascular Plant,Bryum capillare,Bryum Moss,
1226,Vascular Plant,Linnaea borealis,Twinflower,
2691,Nonvascular Plant,Bryum dichotomum,Bryum Moss,
2693,Nonvascular Plant,Bryum lisae,Bryum Moss,
4673,Vascular Plant,Triteleia ixioides ssp. anilina,Prettyface,
4674,Vascular Plant,Triteleia ixioides ssp. scabra,Prettyface,
1248,Vascular Plant,Menziesia pilosa,Minniebush,
2641,Vascular Plant,Tiarella cordifolia var. cordifolia,Foamflower,
2564,Vascular Plant,Ulmus alata,Winged Elm,
1640,Vascular Plant,Epifagus virginiana,Beechdrops,
2573,Vascular Plant,Buckleya distichophylla,Piratebush,Species of Concern
854,Vascular Plant,Hieracium piloselloides,King Devil,
2694,Nonvascular Plant,Bryum lisae var. cuspidatum,Bryum Moss,
2692,Nonvascular Plant,Bryum gemmiparum,Bryum Moss,
5668,Vascular Plant,Dendromecon rigida,Tree Poppy,
599,Vascular Plant,Bupleurum rotundifolium,Hare's Ear,
5707,Vascular Plant,Ceanothus fresnensis,Fresno Mat,
1710,Vascular Plant,Lilium lancifolium,Tiger Lily,
2943,Nonvascular Plant,Phaeoceros laevis,Phaeoceros,
747,Vascular Plant,Artemisia ludoviciana ssp. mexicana,White Sage,
1315,Vascular Plant,Astragalus canadensis,Milk Vetch,
5565,Vascular Plant,Bromus grandis,Tall Brome,
1697,Vascular Plant,Calycanthus floridus var. glaucus,Sweetshrub,
2927,Nonvascular Plant,Cephalozia lunulifolia,Cephalozia,
1322,Vascular Plant,Cladrastis kentukea,Yellowwood,
2926,Nonvascular Plant,Cephalozia connivens,Cephalozia,
2925,Nonvascular Plant,Cephalozia catenulata,Cephalozia,
2915,Nonvascular Plant,Acrobolbus ciliatus,Acrobolbus,
391,Reptile,Eumeces anthracinus,Coal Skink,
2416,Vascular Plant,Clematis ochroleuca,Curlyheads,
2669,Vascular Plant,Solanum ptychanthum,Nightshade,
1183,Vascular Plant,Cucumis melo,Canteloupe,
402,Reptile,Clemmys muhlenbergii,Bog Turtle,
4031,Vascular Plant,Malva pusilla,Low Mallow,
1305,Vascular Plant,Halesia tetraptera var. monticola,Silverbell,
514,Fish,Semotilus atromaculatus,Creek Chub,
368,Reptile,Elaphe guttata guttata,Corn Snake,
2953,Nonvascular Plant,Ulota crispa,Ulota Moss,
1163,Vascular Plant,Tradescantia subaspera var. subaspera,Spiderwort,
1289,Vascular Plant,Phlox subulata,Moss Phlox,
497,Fish,Nocomis micropogon,River Chub,
5751,Vascular Plant,Rosa gymnocarpa,Dwarf Rose,
2321,Vascular Plant,Sporobolus indicus var. indicus,Smut Grass,
2382,Vascular Plant,Diplazium pycnocarpon,Glade Fern,
1653,Vascular Plant,Chelone glabra,Turtlehead,
1722,Vascular Plant,Amianthium muscitoxicum,Fly Poison,
5072,Vascular Plant,Allotropa virgata,Sugarstick,
491,Fish,Hemitremia flammea,Flame Chub,Species of Concern
2472,Vascular Plant,Argentina anserina,Silverweed,
2325,Vascular Plant,Tridens flavus var. flavus,Purple Top,
482,Fish,Clinostomus sp. 1,Smoky Dace,
2471,Vascular Plant,Aphanes microcarpa,Alchemilla,
357,Bird,Strix varia,Barred Owl,
5180,Vascular Plant,Melilotus indica,Sourclover,
5748,Vascular Plant,Rosa bridgesii,Pygmy Rose,
5184,Vascular Plant,Trifolium cyathiferum,Cup Clover,
1866,Vascular Plant,Abutilon theophrasti,Velvetleaf,
2952,Nonvascular Plant,Ulota coarctata,Ulota Moss,
2671,Vascular Plant,Ampelopsis cordata,Peppervine,
4196,Vascular Plant,Bouteloua gracilis,Blue Grama,
300,Bird,Troglodytes aedon,House Wren,
70,Mammal,Rattus norvegicus,Norway Rat,
3120,Bird,Calidris alba,Sanderling,
3286,Fish,Salvelinus namaycush,Lake Trout,
1402,Vascular Plant,Trifolium pratense,Red Clover,
3137,Bird,Mycteria americana,Wood Stork,
4648,Vascular Plant,Sanicula tuberosa,Turkey Pea,
142,Bird,Sterna fuscata,Sooty Tern,
2257,Vascular Plant,Miscanthus sinensis,Miscanthus,
1450,Vascular Plant,Quercus X saulii,Saul's Oak,
2220,Vascular Plant,Elymus repens,Quackgrass,
3633,Vascular Plant,Draba praealta,Tall Draba,
100,Bird,Haliaeetus leucocephalus,Bald Eagle,In Recovery
4501,Mammal,Sorex tenellus,Inyo Shrew,
910,Vascular Plant,Rudbeckia laciniata var. humilis,Coneflower,
1574,Vascular Plant,Mentha X piperita,Peppermint,
3162,Bird,Gymnorhinus cyanocephalus,Pinyon Jay,Species of Concern
1444,Vascular Plant,Quercus phellos,Willow Oak,
5369,Vascular Plant,Salix laevigata,Red Willow,
921,Vascular Plant,Silphium asteriscus var. laevicaule,Rosin-Weed,
1917,Vascular Plant,Osmunda regalis var. spectabilis,Royal Fern,
1033,Vascular Plant,Cardamine angustata,Pepperwort,
118,Bird,Bucephala albeola,Bufflehead,
1980,Vascular Plant,Carex complanata,Blue Sedge,
2086,Vascular Plant,Kyllinga gracillima,Spikesedge,
137,Bird,Chlidonias niger,Black Tern,Species of Concern
1935,Vascular Plant,Pinus rigida,Pitch Pine,
296,Bird,Cistothorus platensis,Sedge Wren,
295,Bird,Cistothorus palustris,Marsh Wren,
1463,Vascular Plant,Comptonia peregrina,Sweet Fern,
5254,Vascular Plant,Fraxinus latifolia,Oregon Ash,
1928,Vascular Plant,Abies fraseri,Fraser Fir,Species of Concern
3248,Bird,Aegolius funereus,Boreal Owl,
128,Bird,Oxyura jamaicensis,Ruddy Duck,
2159,Vascular Plant,Bromus hordeaceus ssp. hordeaceus,Soft Brome,
2152,Vascular Plant,Arundinaria gigantea ssp. gigantea,Giant Cane,
2298,Vascular Plant,Saccharum alopecuroidum,Beardgrass,
4468,Mammal,Parastrellus hesperus,Canyon Bat,
1405,Vascular Plant,Vicia cracca ssp. cracca,Bird Vetch,
1936,Vascular Plant,Pinus strobus,White Pine,
1480,Vascular Plant,Vinca minor,Periwinkle,
3762,Vascular Plant,Rumex venosus,Veiny Dock,
190,Bird,Spiza americana,Dickcissel,
3651,Vascular Plant,Nasturtium officinale,Watercress,
1930,Vascular Plant,Picea rubens,Red Spruce,
3087,Bird,Aythya valisineria,Canvasback,
920,Vascular Plant,Silphium asteriscus var. asteriscus,Rosin-Weed,
5389,Vascular Plant,Malva nicaeensis,Bull Mallow,
1942,Vascular Plant,Asarum canadense,Wild Ginger,
4097,Vascular Plant,Carex livida,Livid Sedge,
5625,Vascular Plant,Poa fendleriana ssp. longiligula,Muttongrass,
5381,Vascular Plant,Viola lobata ssp. lobata,Pine Violet,
5380,Vascular Plant,Viola lobata ssp. integrifolia,Pine Violet,
492,Fish,Hybopsis amblops,Bigeye Chub,
4259,Vascular Plant,Phragmites australis,Common Reed,
1709,Vascular Plant,Lilium grayi,Gray's Lily,Species of Concern
301,Bird,Troglodytes troglodytes,Winter Wren,
4365,Vascular Plant,Geum rossii var. turbinatum,Ross' Avens,
3275,Fish,Chasmistes liorus,June Sucker,Endangered
1303,Vascular Plant,Trientalis borealis,Star-Flower,
979,Vascular Plant,Tussilago farfara,Colt's Foot,
4354,Vascular Plant,Elaeagnus commutata,Silverberry,
2119,Vascular Plant,Juncus longii,Long's Rush,
5605,Vascular Plant,Hordeum murinum ssp. murinum,Wall Barley,
2118,Vascular Plant,Juncus interior,Inland Rush,
5121,Vascular Plant,Phlox condensata,Dwarf Phlox,
4714,Vascular Plant,Aster ascendens,Chile Aster,
5124,Vascular Plant,Phlox speciosa ssp. occidentalis,Showy Phlox,
1422,Vascular Plant,Betula nigra,River Birch,
489,Fish,Cyprinus carpio,Common Carp,
518,Fish,Esox masquinongy,Muskellunge,
4953,Vascular Plant,Streptanthus tortuosus var. orbiculatus,Shieldplant,
4954,Vascular Plant,Streptanthus tortuosus var. tortuosus,Shieldplant,
1428,Vascular Plant,Ostrya,Hophornbeam,
2110,Vascular Plant,Juncus canadensis,Canada Rush,
2496,Vascular Plant,Geum canadense,White Avens,
1816,Vascular Plant,Salix caprea,Goat Willow,
2725,Nonvascular Plant,Arctoa fulvella,Arctoa Moss,
83,Mammal,Sorex fumeus,Smoky Shrew,
5377,Vascular Plant,Salix reticulata ssp. nivalis,Snow Willow,
522,Fish,Lepomis gibbosus,Pumpkinseed,
4986,Vascular Plant,Silene californica,Indian Pink,
2589,Vascular Plant,Acer leucoderme,Chalk Maple,
2045,Vascular Plant,Carex texensis,Texas Sedge,
1774,Vascular Plant,Croton monanthogynus,Prairie Tea,
1055,Vascular Plant,Raphanus raphanistrum,Wild Radish,
2591,Vascular Plant,Acer nigrum,Black Maple,
2664,Vascular Plant,Physalis pubescens var. integrifolia,Husk Tomato,
2041,Vascular Plant,Carex striatula,Lined Sedge,
2656,Vascular Plant,Datura stramonium,Jimson Weed,
2655,Vascular Plant,Ipomoea quamoclit,Cypressvine,
2036,Vascular Plant,Carex scabrata,Rough Sedge,
3413,Vascular Plant,Arnica sororia,Twin Arnica,
1058,Vascular Plant,Rorippa palustris,Yellowcress,
19,Mammal,Lontra canadensis,River Otter,
2597,Vascular Plant,Acer saccharum,Sugar Maple,
1986,Vascular Plant,Carex cumberlandensis,Local Sedge,
1068,Vascular Plant,Pachysandra terminalis,Pachysandra,
4608,Amphibian,Taricha sierrae,Sierra Newt,
2601,Vascular Plant,Aesculus pavia,Red Buckeye,
4154,Vascular Plant,Juncus filiformis,Thread Rush,
4720,Vascular Plant,Baccharis pilularis,Coyotebrush,
2610,Vascular Plant,Sedum pulchellum,Widowscross,
1999,Vascular Plant,Carex gravida var. lunelliana,Heavy Sedge,
1076,Vascular Plant,Opuntia humifusa,Pricklypear,
638,Vascular Plant,Hedera helix,English Ivy,
34,Mammal,Myotis grisescens,Gray Myotis,Endangered
1978,Vascular Plant,Carex communis var. amplisquama,Dixie Sedge,Species of Concern
1812,Vascular Plant,Populus X canescens,Gray Poplar,
1437,Vascular Plant,Quercus coccinea,Scarlet Oak,
2705,Nonvascular Plant,Pohlia nutans,Pohlia Moss,
679,Vascular Plant,Iris laevigata,Garden Iris,
2704,Nonvascular Plant,Pohlia longicolla,Pohlia Moss,
2701,Nonvascular Plant,Pohlia cruda,Pohlia Moss,
1439,Vascular Plant,Quercus imbricaria,Shingle Oak,
2700,Nonvascular Plant,Pohlia annotina,Pohlia Moss,
69,Mammal,Mus musculus,House Mouse,
2560,Vascular Plant,Spiraea tomentosa,Steeplebush,
3642,Vascular Plant,Isatis tinctoria,Dyer's Woad,
4113,Vascular Plant,Carex praeceptorium,Early Sedge,
52,Mammal,Microtus pennsylvanicus,Meadow Vole,
552,Fish,Percina evides,Gilt Darter,
1447,Vascular Plant,Quercus shumardii,Shumard Oak,
3375,Vascular Plant,Platanthera dilatata var. albiflora,Scentbottle,
1758,Vascular Plant,Lycopodium hickeyi,Ground Pine,
1759,Vascular Plant,Lycopodium obscurum,Ground Pine,
3376,Vascular Plant,Platanthera dilatata var. dilatata,Scentbottle,
561,Fish,Salmo trutta,Brown Trout,
661,Vascular Plant,Convallaria majuscula,Convallaria,
1264,Vascular Plant,Rhododendron prinophyllum,Pink Azalea,
40,Mammal,Nycticeius humeralis,Evening Bat,
4574,Bird,Strix occidentalis,Spotted Owl,
80,Mammal,Cryptotis parva,Least Shrew,
1708,Vascular Plant,Lilium canadense ssp. editorum,Canada Lily,
3272,Fish,Catostomus ardens,Utah Sucker,
329,Bird,Ardea alba,Great Egret,
2907,Nonvascular Plant,Thelia hirtella,Thelia Moss,
2204,Vascular Plant,Dichanthelium scabriusculum,Panic Grass,
5494,Vascular Plant,Carex spectabilis,Showy Sedge,
2200,Vascular Plant,Dichanthelium linearifolium,Panic Grass,
1178,Vascular Plant,Philadelphus inodorus var. strigosus,Mock-Orange,
5753,Vascular Plant,Rosa woodsii var. ultramontana,Woods' Rose,
3215,Bird,Phainopepla nitens,Phainopepla,Species of Concern
5240,Vascular Plant,Pycnanthemum californicum,Sierra Mint,
4666,Vascular Plant,Camassia quamash ssp. quamash,Small Camas,
5517,Vascular Plant,Juncus balticus,Baltic Rush,
3114,Bird,Sterna paradisaea,Arctic Tern,
1408,Vascular Plant,Vicia villosa ssp. villosa,Hairy Vetch,
2883,Nonvascular Plant,Leskea obscura,Leskea Moss,
5497,Vascular Plant,Carex subfusca,Brown Sedge,
2882,Nonvascular Plant,Leskea gracilescens,Leskea Moss,
330,Bird,Ardea albus,Great Egret,
3218,Bird,Catherpes mexicanus,Canyon Wren,
4522,Bird,Haemorhous mexicanus,House Finch,
5498,Vascular Plant,Carex tahoensis,Tahoe Sedge,
2868,Nonvascular Plant,Hypnum pratense,Hypnum Moss,
3113,Bird,Sterna hirundo,Common Tern,Species of Concern
2867,Nonvascular Plant,Hypnum pallescens,Hypnum Moss,
2263,Vascular Plant,Panicum anceps,Panic Grass,
2208,Vascular Plant,Dichanthelium sphaerocarpon var. sphaerocarpon,Panic Grass,
2249,Vascular Plant,Lolium arundinaceum,Tall Fescue,
5045,Vascular Plant,Rumex pulcher,Fiddle Dock,
1870,Vascular Plant,Malva moschata,Musk Mallow,
243,Bird,Anthus spinoletta,Water Pipit,
2224,Vascular Plant,Elytrigia repens var. repens,Witch Grass,
5467,Vascular Plant,Carex densa,Dense Sedge,
1141,Vascular Plant,Rumex obtusifolius,Bitter Dock,
5489,Vascular Plant,Carex nudata,Naked Sedge,
2207,Vascular Plant,Dichanthelium sphaerocarpon var. isophyllum,Panic Grass,
2987,Nonvascular Plant,Scopelophila ligulata,Copper Moss,
216,Bird,Carduelis pinus,Pine Siskin,
4507,Bird,Cypseloides niger,Black Swift,Species of Concern
3181,Bird,Spinus pinus,Pine Siskin,
4665,Vascular Plant,Camassia quamash ssp. breviflora,Small Camas,
382,Reptile,Regina septemvittata,Queen Snake,Species of Concern
3780,Vascular Plant,Viburnum edule,Squashberry,
2209,Vascular Plant,Dichanthelium villosissimum var. villosissimum,Panic Grass,
218,Bird,Carpodacus mexicanus,House Finch,
2865,Nonvascular Plant,Hypnum imponens,Hypnum Moss,
3153,Bird,Coturnicops noveboracensis,Yellow Rail,Species of Concern
2861,Nonvascular Plant,Hypnum cupressiforme,Hypnum Moss,
2165,Vascular Plant,Bromus racemosus,Brome Grass,
1244,Vascular Plant,Leiophyllum buxifolium,Sand Myrtle,
169,Bird,Meleagris gallopavo,Wild Turkey,
5247,Vascular Plant,Trichostema lanceolatum,Vinegarweed,
2864,Nonvascular Plant,Hypnum fertile,Hypnum Moss,
4067,Vascular Plant,Carex aquatilis,Water Sedge,
5514,Vascular Plant,Scirpus cernuus,Low Bulrush,
3875,Vascular Plant,Betula glandulosa,Resin Birch,
3876,Vascular Plant,Betula occidentalis,Water Birch,
3234,Bird,Egretta thula,Snowy Egret,
3879,Vascular Plant,Apocynum cannabinum var. cannabinum,Indian Hemp,
3237,Bird,Plegadis falcinellus,Glossy Ibis,
5030,Vascular Plant,Eriogonum wrightii var. subscaposum,Bastardsage,
752,Vascular Plant,Bidens aristosa,Stick-Tight,
5242,Vascular Plant,Satureja douglasii,Yerba Buena,
3097,Bird,Melanitta perspicillata,Surf Scoter,
5058,Vascular Plant,Marah watsonii,Taw Manroot,
3264,Amphibian,Anaxyrus boreas boreas,Boreal Toad,
4027,Vascular Plant,Viola sororia var. affinis,Sand Violet,
3095,Bird,Cygnus columbianus,Tundra Swan,
180,Bird,Eremophila alpestris,Horned Lark,
4389,Vascular Plant,Rosa woodsii,Woods' Rose,
306,Bird,Hylocichla mustelina,Wood Thrush,
2388,Vascular Plant,Caulophyllum thalictroides,Blue Cohosh,
1888,Vascular Plant,Epilobium coloratum,Willow-Herb,
1187,Vascular Plant,Dioscorea oppositifolia,Chinese Yam,
2426,Vascular Plant,Hydrastis canadensis,Golden Seal,
1624,Vascular Plant,Fraxinus profunda,Pumpkin Ash,
5672,Vascular Plant,Eschscholzia caespitosa,Tufted Poppy,
4199,Vascular Plant,Bromus inermis var. inermis,Smooth Brome,
5480,Vascular Plant,Carex lanuginosa,Woolly Sedge,
4657,Vascular Plant,Allium hyalinum,Glassy Onion,
653,Vascular Plant,Allium vineale,Field Garlic,
